ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1,0.101083896,20.74376026,1,0.000188052,1,0.078743017,18.70750003,0.001931299,8884.912203,0.0001,1000
1,0.100902598,18.77863175,1,1.04E-05,4,0.0047249,264.2277297,0.004937397,1278.526038,0.0001,1000
1,0.100797015,16.04876322,1,0.000106909,2,0.001038591,12.666131,0.005611392,57.79974236,0.0001,1000
1,0.100538324,17.69755736,1,3.06E-05,4,0.001348186,97.60191392,0.031038159,299.1235899,0.0001,1000
1,0.100512646,19.12464489,1,3.59E-05,1,0.004189986,109.8164353,0.003532048,1311.302741,0.0001,1000
1,0.100216506,17.7940967,1,0.000985801,1,0.009503938,190.9123022,0.001531906,369.5711934,0.0001,1000
1,0.100091449,15.59048841,1,0.003013081,1,0.039028356,13.05847636,0.007039959,51.90245583,0.0001,1000
1,0.100077728,14.89174227,1,0.00032387,1,0.015527166,13.55073955,0.033583756,18.93040534,0.0001,1000
1,0.100008302,17.42280133,0.29,5.90E-05,4,0.030384255,1714.641193,0.001201263,674.3097621,0.0001,1000
1,0.099581742,14.77849708,1,0.001949843,1,0.001840136,112.3538266,0.015659314,10.54974174,0.0001,1000
1,0.099415009,18.64635391,1,1.29E-05,2,0.003579703,20.75271528,0.014387396,737.1209389,0.0001,1000
1,0.099349326,18.54009395,1,3.71E-05,3,0.056016688,43.08831088,0.004947355,1017.520766,0.0001,1000
1,0.099294667,17.28540524,1,0.000681222,1,0.00333979,4724.579432,0.001337754,201.7257803,0.0001,1000
1,0.099224124,18.9930046,1,1.42E-05,2,0.002558407,9345.923748,0.06580062,827.5871047,0.0001,1000
1,0.099211593,14.91401009,1,0.000617934,3,0.002573625,2968.168469,0.010664021,17.97870279,0.0001,1000
1,0.099154691,14.5876889,1,0.000864922,1,0.001624459,11.46914895,0.001245563,18.92620614,0.0001,1000
1,0.099109364,16.29090583,1,0.00021097,1,0.004030957,24.7252017,0.00569004,71.50213132,0.0001,1000
1,0.098998635,16.7326399,1,9.95E-05,3,0.01874442,3951.162339,0.044635005,115.5175489,0.0001,1000
1,0.098454344,16.98717048,1,0.000247197,1,0.01113558,336.1408512,0.067383484,73.07451972,0.0001,1000
1,0.098450595,15.77245652,0.99,0.001943784,1,0.004693694,423.4832638,0.002781763,42.60668355,0.0001,1000
1,0.098343488,17.03323096,1,7.01E-05,3,0.001181057,174.5147237,0.001296849,208.1902431,0.0001,1000
1,0.098121876,15.00606095,0.99,0.00075054,3,0.023720438,5708.026681,0.012725352,27.5867215,0.0001,1000
1,0.098022228,15.34982657,1,0.000238529,2,0.005040197,12.99070631,0.005223754,39.12453225,0.0001,1000
1,0.09791282,15.99714814,0.06,0.000231721,3,0.059469761,5564.785607,0.001156876,1013.077143,0.0001,1000
1,0.097769166,14.94672885,0.03,0.000182046,4,0.039107431,4462.718986,0.004989205,1352.515669,0.0001,1000
1,0.097735385,17.36594901,1,1.48E-05,1,0.003813301,12.9752218,0.051551176,194.1813747,0.0001,1000
