ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.06761790718110741,20.771752182763276,1.0,0.0,1,0.0018182911118348145,17.07024852121009,0.015793908265881135,3890.004788481052,0.0001,1000.0
1.0,0.01954135982967279,17.3037263447584,1.0,0.0,1,0.03276193905357531,67.13867672083659,0.0726858287110959,32.9940351225986,0.0001,1000.0
1.0,0.023689108254668946,15.695418779216622,1.0,0.0,1,0.07709837687778152,33.6888477626226,0.027383748090660225,12.721327593561288,0.0001,1000.0
1.0,0.025655429746038436,20.488710197741238,1.0,0.0,1,0.017326308786367452,55.33633984438166,0.08028661723570492,924.4415124760756,0.0001,1000.0
1.0,0.006363645278613665,23.254093052128272,1.0,0.0,1,0.006621681468439932,2447.009043316225,0.015560022369581353,355.53612577504754,0.0001,1000.0
1.0,0.0012640975703331766,18.670888722323323,1.0,0.0,1,0.00632710036003227,632.397760791325,0.001383122861178855,13.024345561981814,0.0001,1000.0
1.0,0.006409106182665256,22.660277593024688,0.37,0.0,1,0.07108092485884576,132.07122012051312,0.015697682164444886,7066.528223893609,0.0001,1000.0
1.0,0.0059478125277292095,21.42014299393647,1.0,0.0,1,0.0039067692643812895,135.55785232426592,0.0010781655539475051,976.6556280157711,0.0001,1000.0
1.0,0.03165714216910875,15.711384992772048,1.0,0.0,1,0.0014049654134536697,38.370442179737516,0.008334016111689355,10.83481546928742,0.0001,1000.0
1.0,0.08420289751478091,18.90643810797402,1.0,0.0,1,0.002510931316995429,12.598173217310391,0.005405373356850981,883.8238408910514,0.0001,1000.0
1.0,0.007548429741992271,22.625446041815838,1.0,0.0,1,0.03305494903334262,453.44827488888205,0.046271411710070307,1119.205766037757,0.0001,1000.0
1.0,0.0033143282998283575,21.631575880096296,1.0,0.0,1,0.007048881402388106,9394.496817977282,0.00979280769157001,19.936834804650964,0.0001,1000.0
1.0,0.009230546276272615,26.091276578866285,1.0,0.0,1,0.008818884135294032,1604.8145197663048,0.03214182405183597,9017.973112284531,0.0001,1000.0
1.0,0.005632615162543314,25.780716088833284,1.0,0.0,1,0.00928207229036251,7606.686814955293,0.009592919379507058,1805.2488737958952,0.0001,1000.0
1.0,0.0028512189350389915,19.471472482574065,1.0,0.0,1,0.06214345262461984,266.5258164963075,0.0012252337740039567,66.02723112820702,0.0001,1000.0
1.0,0.0036745821946027224,18.756438658042835,1.0,0.0,1,0.001028112771993864,774.0026457058129,0.03494720746862065,11.105478419591016,0.0001,1000.0
1.0,0.0006790806142300658,23.41292613473088,1.0,0.0,1,0.004267961706668248,1214.0289563551219,0.0013827145077270964,818.0012559696739,0.0001,1000.0
1.0,0.008720797079208052,22.860924429322722,1.0,0.0,1,0.03199711161623409,417.6210575439105,0.07906564968281132,1395.1348406762356,0.0001,1000.0
1.0,0.019681726755333653,21.877809973080854,1.0,0.0,1,0.023026302869291963,79.07977605248549,0.030360122490740542,3079.6938068311374,0.0001,1000.0
1.0,0.0017114891660832282,24.73245682643471,1.0,0.0,1,0.005470693786019132,650.2051107264467,0.0047537977969765,6934.588741069147,0.0001,1000.0
1.0,0.0016172784984849942,22.734863088729814,0.24,0.0,1,0.06739045538988102,482.47680552471576,0.003099095410305218,2995.1341947627698,0.0001,1000.0
1.0,0.006194642301702739,23.979005980626187,1.0,0.0,1,0.02043571996339171,9318.069954331733,0.037543069143232806,200.3392170139264,0.0001,1000.0
1.0,0.0007073291890592454,23.423759545700722,1.0,0.0,1,0.01825801843542181,1089.7140447913232,0.0012359179291267406,866.5465431633967,0.0001,1000.0
1.0,0.018426950984057312,17.815612943170294,1.0,0.0,1,0.005771124509260705,41.87610962340736,0.0010978530228594324,82.70254581118164,0.0001,1000.0
1.0,0.005167454931210771,20.057091989037332,1.0,0.0,1,0.001335888052710316,629.3720157066701,0.06874740593444428,50.36601806481481,0.0001,1000.0
1.0,8.50108551196923e-5,20.291083907885536,0.03,0.0,1,0.01560466744120229,9735.241019295921,0.0013361848917071524,1523.0788398602895,0.0001,1000.0
1.0,0.003016203092063782,17.56353924710001,1.0,0.0,1,0.02261607258828174,265.12554336245853,0.005219252365599744,10.238706082323834,0.0001,1000.0
1.0,0.006108980259969422,23.027251169856726,1.0,0.0,1,0.025820011159674885,1361.5832440929944,0.03839243569170229,549.6753324924363,0.0001,1000.0
1.0,0.011003208826090315,24.25378592394119,1.0,0.0,1,0.0037409011529586506,353.8281033480595,0.07716380589071034,6120.113894493063,0.0001,1000.0
1.0,0.0005373490119341868,21.940996959084373,1.0,0.0,1,0.01928906344681936,3572.0696819008735,0.019087152794069855,82.75509654454719,0.0001,1000.0
1.0,0.007811840806451126,20.04750660273063,1.0,0.0,1,0.00802055513209185,234.42562572729545,0.011470463914343972,161.34928023547084,0.0001,1000.0
