mean_ATP_prod_eq_cons_frac,mean_ATP_conc,mean_ATP_energy,mean_X_conc,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.9921488019499551,21.653292080259774,9981.080704098405,1.0,0.0,1,0.010301886008546762,29.40722360923564,0.056777762544021844,5561.408970395624,0.0001,1000.0
1.0,0.9927927280295402,21.83841748435287,1.7138595947484681e6,1.0,0.0,1,0.06953681947356746,8209.74042464862,0.02338556522617219,488.6424314688709,0.0001,1000.0
1.0,0.9907596180046805,20.32803050624892,20568.846442170212,1.0,0.0,1,0.02750164672928005,221.9633454872875,0.06733266501001238,206.07081810616685,0.0001,1000.0
1.0,0.9907368894926986,20.08752764831063,1080.5326605880175,1.0,0.0,1,0.021061639748175792,13.66824917343061,0.0028169792381606876,2452.8917649651858,0.0001,1000.0
1.0,0.9836036085718327,17.364633743844436,554.1921143040985,1.0,0.0,1,0.0012960925121908913,123.01663389398004,0.014795981036609,17.474257573527748,0.0001,1000.0
1.0,0.9868531491662774,18.8486363022796,301.7170692471161,1.0,0.0,1,0.003208711955657093,12.45794905450609,0.003420061256348385,1017.414102293233,0.0001,1000.0
1.0,0.991049019164707,20.104199502118632,92261.87257402718,1.0,0.0,1,0.004692237144207452,2061.5266926654313,0.0814995462408623,23.357294154066157,0.0001,1000.0
1.0,0.9920109746800085,21.36728989581785,6534.849329221155,1.0,0.0,1,0.0012018227325018534,26.62059320800386,0.06728524453970844,4490.225136203914,0.0001,1000.0
1.0,0.9915024494610125,21.523782268044815,68135.92497425604,1.0,0.0,1,0.007694852463861586,224.65387167368195,0.005164989946428192,826.6219412015661,0.0001,1000.0
1.0,0.9105963123950912,14.736668870761896,3.3015689321640536,1.0,0.0,1,0.007253435503025172,10.222169514622594,0.05376210121044443,15.15087174654755,0.0001,1000.0
1.0,0.9736206951650038,16.661060381635647,56.88485353131603,1.0,0.0,1,0.003842169899432063,22.325418457134365,0.0024641363022428232,55.19654645038609,0.0001,1000.0
1.0,0.991617617881623,21.554565578081416,85186.75837530523,1.0,0.0,1,0.006963229090567578,313.07196154744906,0.010804467693991238,637.19845402697,0.0001,1000.0
1.0,0.995365506063832,22.276486340206294,134552.31098971152,1.0,0.0,1,0.003696394043236047,2378.1289804198204,0.011823162628355335,1355.4030014338077,0.0001,1000.0
1.0,0.9923867612072425,21.857156290781337,473195.00293342315,1.0,0.0,1,0.023679295413608196,1806.158498877169,0.046974640928989064,190.3031806190815,0.0001,1000.0
1.0,0.990502475071629,19.993375736061555,969.9089356616624,1.0,0.0,1,0.031586520689918365,14.819194248368124,0.09349117506613519,2163.5807527495735,0.0001,1000.0
1.0,0.9830227965681011,17.28136704490799,48.28134457746604,1.0,0.0,1,0.06048015155848438,10.22804338877494,0.005044174565533283,193.11600001383664,0.0001,1000.0
1.0,0.9908409179002559,19.612923580753463,68641.62493895392,1.0,0.0,1,0.002133926617740349,6842.225714842227,0.003914355542148178,14.86505327481683,0.0001,1000.0
1.0,0.9911280848974237,20.72884760679766,41459.29319548355,1.0,0.0,1,0.07542865128330017,276.25841901116,0.029427615875569375,246.46380330090778,0.0001,1000.0
1.0,0.9867302113947983,17.95825957585249,1912.279532217567,1.0,0.0,1,0.02223934051506033,205.02457067645508,0.0015035202985140324,18.955094538431347,0.0001,1000.0
1.0,0.9861800675480318,17.837997009052177,753.4146579213246,1.0,0.0,1,0.01944011339337977,91.32347557438999,0.0021416037901475417,38.071650104696076,0.0001,1000.0
1.0,0.9901120445857905,19.604559532350258,19273.876543946208,1.0,0.0,1,0.03126033207763499,397.6340227462989,0.00937635808958798,54.01992594577557,0.0001,1000.0
