mean_ATP_prod_eq_cons_frac,mean_ATP_conc,mean_ATP_energy,mean_X_conc,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.7077829758431526,13.174759795227406,0.08593219332791817,0.93,0.01310791143000023,2,0.05796969768346419,999.5132947109335,0.01324495615750603,57.015220501721814,0.0001,1000.0
1.0,0.9852321137766904,17.687452790803192,1083.4582289688692,1.0,4.5110725172937426e-5,2,0.0023068443691475473,660.6109555632133,0.006552184927930574,28.179948124980925,0.0001,1000.0
1.0,0.9851770418697462,17.864251445902106,497.172506826926,0.97,0.0006178465456449079,1,0.027449713084708137,92.98046218424632,0.004964413158287509,149.82885859658958,0.0001,1000.0
1.0,0.8205490053763547,13.866764993532845,0.20327382289350704,0.94,0.006354977212836986,2,0.08224600880747295,1792.464154173186,0.01983107545240602,760.2936430148692,0.0001,1000.0
1.0,0.16629523546928807,10.535884505057995,0.0010537935799961064,0.91,0.09758954793154928,3,0.005100495429267461,2063.18415204347,0.001219710619691009,10.140241812276127,0.0001,1000.0
1.0,0.9911684289912975,20.554890515651273,45654.16094804503,1.0,4.784380460975657e-5,1,0.04963534545365584,4156.321788400332,0.0030126615347551666,158.24239102487675,0.0001,1000.0
1.0,0.9845171907123074,17.04971273225509,5.537232580256668,0.92,9.993580072283532e-5,3,0.007594321289915749,873.8022715379711,0.004303684999537663,1011.8043171061308,0.0001,1000.0
1.0,0.8565377048619319,14.124529488701885,0.1623573600072471,1.0,0.0013427224423553912,3,0.00466551023574044,89.1272196732728,0.004589542063629564,119.90690592601888,0.0001,1000.0
1.0,0.8464819965695068,14.052654218471858,0.02354500840639514,1.0,0.0014693402193156641,3,0.0016052613717383883,44.836304823372075,0.023013338188805854,627.5889325598316,0.0001,1000.0
1.0,0.9876258888990144,19.66152993568058,14788.911738056764,1.0,2.0934939934168648e-5,4,0.015299705604137672,6556.848056228081,0.0016232017720613184,129.43453918664179,0.0001,1000.0
1.0,0.9795007765630405,17.299992064878012,25.667001547738753,0.96,0.004025454908407624,1,0.03913708712995706,6567.5741269398495,0.003065452307709771,2357.5538589579446,0.0001,1000.0
1.0,0.8403798669053338,14.134295495886354,0.033132113732782464,1.0,0.0018683434609062704,2,0.002929993218591049,9024.902238530003,0.023337069754554286,903.1636447721016,0.0001,1000.0
1.0,0.8006025438369746,13.81306414928756,0.00301597729855121,1.0,0.0025787220252634136,2,0.0018836854124399823,100.20618921180912,0.06567186165336784,5187.960778591995,0.0001,1000.0
1.0,0.8776760869734602,15.215395564816815,0.8824972895274729,1.0,0.0016631603336006876,1,0.001113518716012217,477.2920477800401,0.00767467757268169,2217.243074474066,0.0001,1000.0
1.0,0.8934813135913121,15.453593203551998,21.1245816841329,1.0,0.0013031857803859834,1,0.0037398250615566205,921.2656981738164,0.021366488014559083,146.73886752836512,0.0001,1000.0
1.0,0.9726223466823918,16.299171087909304,15.951085104929275,0.93,0.0005056599634267113,2,0.01246783825650637,3974.0738522131564,0.003441723804699718,108.51070773089992,0.0001,1000.0
